% Model,system.mph
% Version,COMSOL 6.0.0.318
% Date,"Jun 8 2023, 14:45"
% Table,Evaluation Group  - 
% light,Time,target
0.000000000000000E0,2.000000000000000E-4,0.000000000000000E0
1.000000000000000E-5,2.000000000000000E-4,1.308064998669292E-7
2.000000000000000E-5,2.000000000000000E-4,1.489506936007570E-7
3.000000000000000E-5,2.000000000000000E-4,1.542039727198759E-7
4.000000000000000E-5,2.000000000000000E-4,1.549225368507137E-7
5.000000000000000E-5,2.000000000000000E-4,1.536202116852814E-7
6.000000000000001E-5,2.000000000000000E-4,1.513081372485548E-7
7.000000000000001E-5,2.000000000000000E-4,1.484679742889275E-7
8.000000000000000E-5,2.000000000000000E-4,1.453546744783308E-7
9.000000000000000E-5,2.000000000000000E-4,1.421138946775659E-7
1.000000000000000E-4,2.000000000000000E-4,1.388348590804533E-7
