% Model,SOR optimaze.mph
% Version,COMSOL 6.0.0.318
% Date,"May 23 2023, 09:48"
% Table,Table 4 - Integral
% light,k9,k4,"Time=0.001, timeint(0, 1E-4, D)"
20.00000000000000E-6,10.00000000000000E-6,10.00000000000000E6,72.08666512423436E-9
20.00000000000000E-6,10.00000000000000E-6,5.005000000000000E9,164.5886432950764E-9
20.00000000000000E-6,10.00000000000000E-6,10.00000000000000E9,168.3908509711593E-9
20.00000000000000E-6,10.00000000000000E-3,10.00000000000000E6,72.08666508065487E-9
20.00000000000000E-6,10.00000000000000E-3,5.005000000000000E9,164.5886427050892E-9
20.00000000000000E-6,10.00000000000000E-3,10.00000000000000E9,168.3908504058924E-9
28.88888888888889E-6,10.00000000000000E-6,10.00000000000000E6,74.12874116686099E-9
28.88888888888889E-6,10.00000000000000E-6,5.005000000000000E9,169.8436102672103E-9
28.88888888888889E-6,10.00000000000000E-6,10.00000000000000E9,173.6685791178522E-9
28.88888888888889E-6,10.00000000000000E-3,10.00000000000000E6,74.12874112165620E-9
28.88888888888889E-6,10.00000000000000E-3,5.005000000000000E9,169.8436096134846E-9
28.88888888888889E-6,10.00000000000000E-3,10.00000000000000E9,173.6685784997113E-9
37.77777777777779E-6,10.00000000000000E-6,10.00000000000000E6,74.60669560937360E-9
37.77777777777779E-6,10.00000000000000E-6,5.005000000000000E9,170.5740059908063E-9
37.77777777777779E-6,10.00000000000000E-6,10.00000000000000E9,174.2535359004694E-9
37.77777777777779E-6,10.00000000000000E-3,10.00000000000000E6,74.60669556356694E-9
37.77777777777779E-6,10.00000000000000E-3,5.005000000000000E9,170.5740052904519E-9
37.77777777777779E-6,10.00000000000000E-3,10.00000000000000E9,174.2535352473335E-9
46.66666666666667E-6,10.00000000000000E-6,10.00000000000000E6,74.39058708222001E-9
46.66666666666667E-6,10.00000000000000E-6,5.005000000000000E9,169.1150972962644E-9
46.66666666666667E-6,10.00000000000000E-6,10.00000000000000E9,172.5659028192962E-9
46.66666666666667E-6,10.00000000000000E-3,10.00000000000000E6,74.39058703623780E-9
46.66666666666667E-6,10.00000000000000E-3,5.005000000000000E9,169.1150965588914E-9
46.66666666666667E-6,10.00000000000000E-3,10.00000000000000E9,172.5659021413120E-9
55.55555555555556E-6,10.00000000000000E-6,10.00000000000000E6,73.83649197769974E-9
55.55555555555556E-6,10.00000000000000E-6,5.005000000000000E9,166.4970506997815E-9
55.55555555555556E-6,10.00000000000000E-6,10.00000000000000E9,169.6798128750112E-9
55.55555555555556E-6,10.00000000000000E-3,10.00000000000000E6,73.83649193172741E-9
55.55555555555556E-6,10.00000000000000E-3,5.005000000000000E9,166.4970499319084E-9
55.55555555555556E-6,10.00000000000000E-3,10.00000000000000E9,169.6798121789769E-9
64.44444444444444E-6,10.00000000000000E-6,10.00000000000000E6,73.11159165523797E-9
64.44444444444444E-6,10.00000000000000E-6,5.005000000000000E9,163.2445855728187E-9
64.44444444444444E-6,10.00000000000000E-6,10.00000000000000E9,166.1455670655322E-9
64.44444444444444E-6,10.00000000000000E-3,10.00000000000000E6,73.11159160935263E-9
64.44444444444444E-6,10.00000000000000E-3,5.005000000000000E9,163.2445847796624E-9
64.44444444444444E-6,10.00000000000000E-3,10.00000000000000E9,166.1455663566739E-9
73.33333333333334E-6,10.00000000000000E-6,10.00000000000000E6,72.30159111847632E-9
73.33333333333334E-6,10.00000000000000E-6,5.005000000000000E9,159.6524680920991E-9
73.33333333333334E-6,10.00000000000000E-6,10.00000000000000E9,162.2737518592993E-9
73.33333333333334E-6,10.00000000000000E-3,10.00000000000000E6,72.30159107270308E-9
73.33333333333334E-6,10.00000000000000E-3,5.005000000000000E9,159.6524672783865E-9
73.33333333333334E-6,10.00000000000000E-3,10.00000000000000E9,162.2737511420853E-9
82.22222222222223E-6,10.00000000000000E-6,10.00000000000000E6,71.45306881220779E-9
82.22222222222223E-6,10.00000000000000E-6,5.005000000000000E9,155.8982387620668E-9
82.22222222222223E-6,10.00000000000000E-6,10.00000000000000E9,158.2518785208852E-9
82.22222222222223E-6,10.00000000000000E-3,10.00000000000000E6,71.45306876654396E-9
82.22222222222223E-6,10.00000000000000E-3,5.005000000000000E9,155.8982379324094E-9
82.22222222222223E-6,10.00000000000000E-3,10.00000000000000E9,158.2518777994253E-9
91.11111111111113E-6,10.00000000000000E-6,10.00000000000000E6,70.59231365649003E-9
91.11111111111113E-6,10.00000000000000E-6,5.005000000000000E9,152.0942157940983E-9
91.11111111111113E-6,10.00000000000000E-6,10.00000000000000E9,154.1984261440495E-9
91.11111111111113E-6,10.00000000000000E-3,10.00000000000000E6,70.59231361092002E-9
91.11111111111113E-6,10.00000000000000E-3,5.005000000000000E9,152.0942149531589E-9
91.11111111111113E-6,10.00000000000000E-3,10.00000000000000E9,154.1984254222862E-9
100.0000000000000E-6,10.00000000000000E-6,10.00000000000000E6,69.73447660261479E-9
100.0000000000000E-6,10.00000000000000E-6,5.005000000000000E9,148.3137784500968E-9
100.0000000000000E-6,10.00000000000000E-6,10.00000000000000E9,150.1903227598059E-9
100.0000000000000E-6,10.00000000000000E-3,10.00000000000000E6,69.73447655711621E-9
100.0000000000000E-6,10.00000000000000E-3,5.005000000000000E9,148.3137776026227E-9
100.0000000000000E-6,10.00000000000000E-3,10.00000000000000E9,150.1903220415940E-9
