% k1,"Time=3E-4, timeint(0, 2e-4, D)"
10000,1.0176169890845321E-7
10250,1.0202977886615739E-7
10500,1.022819838884045E-7
10750,1.025192198306222E-7
11000,1.0274232808846953E-7
11250,1.0295209121594551E-7
11500,1.0314923796069715E-7
11750,1.0333444778674176E-7
12000,1.0350835494519134E-7
12250,1.036715521453899E-7
12500,1.0382459387201037E-7
12750,1.0396799938763911E-7
13000,1.0410225545553138E-7
13250,1.0422781881267924E-7
13500,1.0434511841977697E-7
13750,1.0445455751138501E-7
14000,1.0455651546687003E-7
14250,1.0465134952021418E-7
14500,1.0473939632480675E-7
14750,1.0482097338745323E-7
15000,1.0489638038420713E-7
15250,1.049659003693296E-7
15500,1.0502980088741589E-7
15750,1.0508833499764323E-7
16000,1.0514174221814948E-7
16250,1.0520063560912044E-7
16500,1.0524468668434512E-7
16750,1.0528381629783285E-7
17000,1.0531942367168985E-7
17250,1.05350823998989E-7
17500,1.0536996672846295E-7
17750,1.0540098905284718E-7
18000,1.0542106389098876E-7
18250,1.0543763435625474E-7
18500,1.0545090469938852E-7
18750,1.0546100906204854E-7
19000,1.054680752267106E-7
19250,1.0547222498356036E-7
19500,1.054636561238445E-7
19750,1.0546235550515049E-7
20000,1.0545847511544786E-7
20250,1.0545211530131896E-7
20500,1.0544337195041992E-7
20750,1.0543233673703666E-7
21000,1.0541909735129815E-7
21250,1.0540373771322324E-7
21500,1.0538630414726065E-7
21750,1.0536686354002919E-7
22000,1.0534555193241949E-7
22250,1.0532244072374572E-7
22500,1.0529759832586818E-7
22750,1.0527109031013229E-7
23000,1.0524297954587707E-7
23250,1.0521332633106245E-7
23500,1.0518218851554017E-7
23750,1.0514962161743438E-7
24000,1.0511567893307589E-7
24250,1.050804116409081E-7
24500,1.0504386889972973E-7
24750,1.0500609794163996E-7
25000,1.04967144160007E-7
25250,1.0492705119276794E-7
25500,1.0488586100134329E-7
25750,1.048436139454332E-7
26000,1.0480034885393387E-7
26250,1.0475610309221345E-7
26500,1.0471091262595931E-7
26750,1.0466481208179037E-7
27000,1.046178348048306E-7
27250,1.0457001291341344E-7
27500,1.0452137735107953E-7
27750,1.0447195793602683E-7
28000,1.0442178340814735E-7
28250,1.0437088147379301E-7
28500,1.0431927884839089E-7
28750,1.0426700129702819E-7
29000,1.0421407367311696E-7
29250,1.0416051995524265E-7
29500,1.0410636328229119E-7
29750,1.0405162598695212E-7
30000,1.0399632962767875E-7
30250,1.0394049501918551E-7
30500,1.0388414226156522E-7
30750,1.0382729076809108E-7
31000,1.0376995929177148E-7
31250,1.0371216595072962E-7
31500,1.0365392825245552E-7
31750,1.0359526311699303E-7
32000,1.035361868991211E-7
32250,1.0347233432848363E-7
32500,1.034124671258044E-7
32750,1.0335223773628876E-7
33000,1.0329166048040264E-7
33250,1.0323074920920878E-7
33500,1.0316951732150958E-7
33750,1.0310797778027832E-7
34000,1.0304614312840552E-7
34250,1.0298402550379679E-7
34500,1.029216366538507E-7
34750,1.0285898794934704E-7
35000,1.0279609039776993E-7
35250,1.0273295465609698E-7
35500,1.026695910430717E-7
35750,1.0260600955099044E-7
36000,1.0254221985702078E-7
36250,1.0247823133407014E-7
36500,1.0241405306123598E-7
36750,1.0234969383384148E-7
37000,1.0228516217308299E-7
37250,1.022204663353108E-7
37500,1.0215561432094684E-7
37750,1.0209061388306632E-7
38000,1.0202547253565116E-7
38250,1.0196019756153498E-7
38500,1.0189479602004428E-7
38750,1.0182927475435982E-7
39000,1.0176364039860062E-7
39250,1.0169789938464554E-7
39500,1.0163205794870677E-7
39750,1.0156612213765767E-7
40000,1.0150009781513675E-7
40250,1.0143399066742274E-7
40500,1.0136780620910215E-7
40750,1.0130154978853375E-7
41000,1.0123522659311221E-7
41250,1.0116884165435253E-7
41500,1.0110239985278785E-7
41750,1.0103590592269633E-7
42000,1.0096936445666456E-7
42250,1.0090277990998718E-7
42500,1.0083615660491931E-7
42750,1.0076949873477558E-7
43000,1.0070281036789149E-7
43250,1.006360954514515E-7
43500,1.0056935781517763E-7
43750,1.0050260117490429E-7
44000,1.0043582913602019E-7
44250,1.003690451968053E-7
44500,1.00302252751648E-7
44750,1.0023545509415737E-7
45000,1.0016865542017337E-7
45250,1.0010185683067458E-7
45500,1.0003506233459245E-7
45750,9.996827485153155E-8
46000,9.990149721440145E-8
46250,9.983473217196231E-8
46500,9.976798239128871E-8
46750,9.97012504601531E-8
47000,9.963453888933395E-8
47250,9.956785011484635E-8
47500,9.950118650010678E-8
47750,9.943455033802386E-8
48000,9.936794385302596E-8
48250,9.93013488228466E-8
48500,9.923474487959128E-8
48750,9.916817683956579E-8
49000,9.910164666666085E-8
49250,9.90351562656689E-8
49500,9.896870748395999E-8
49750,9.890230211310037E-8
50000,9.883594189042464E-8
50250,9.876962850055856E-8
50500,9.870336357689598E-8
50750,9.863714870302871E-8
51000,9.857098541413692E-8
51250,9.850487519833342E-8
51500,9.843881949796927E-8
51750,9.837281971090085E-8
52000,9.830687719171815E-8
52250,9.824099325293591E-8
52500,9.817516916615096E-8
52750,9.810940616316353E-8
53000,9.804370543706694E-8
53250,9.797806814330358E-8
53500,9.791249540069151E-8
53750,9.784698829242023E-8
54000,9.778154786701925E-8
54250,9.771617513929307E-8
54500,9.765087109123616E-8
54750,9.758563667291858E-8
55000,9.752047280334244E-8
55250,9.745538037128114E-8
55500,9.739036023608728E-8
55750,9.73254132284835E-8
56000,9.72605401513268E-8
56250,9.71957417803524E-8
56500,9.713101886489854E-8
56750,9.70663721286073E-8
57000,9.700180227010764E-8
57250,9.693730996368112E-8
57500,9.687289585990449E-8
57750,9.680856058627965E-8
58000,9.674430474784182E-8
58250,9.668012892775225E-8
58500,9.661603368787645E-8
58750,9.65520195693432E-8
59000,9.648808709309233E-8
59250,9.642423676040126E-8
59500,9.636046905340509E-8
59750,9.629678443559522E-8
60000,9.623318335230979E-8
